State,ExternalRef ID,Contract ID Info,ID,Title,Work Item Type,Node Name
"New",,,"4372048","21st Feb | UAT1 | Gen AI | S2C| Response not getting generated for SLA nudge","Bug","Solution to Contract"
"New",,"srinivasan.ks","4372067","FEB 21 Regression| UAT| Differentiation |SSA icon is not there in the tabs of Differentiation link","Bug","TechCoders"
"Active","supriya.a.dhingra","Rajsingh.rajput","4369578","Feb 21st | UAT1 | IMS | Pyramid | Role nomenclature is mismatching with pivot data sheet for Monthly Detail","Bug","myISP_IMS"
"Active","sowjanya.kari","srinivasan.ks","4369599","21 Feb | UAT1 | Gen AI | In Manage and Opportunity Workflow screen the SSA icon and the new name ?Solution Super Agent? is not updated for SA, RA, SME and PLD role.","Bug","NGTransformers"
"Ready to Deploy","sowjanya.kari","madhuri.chintala","4369042","Feb 21st | UAT | Review Approval | While clicking on Foxtrot Questionnaire from the Reporting and Compliance dropdown, it is not navigating to the required screen initially","Bug","TechWarriors"
"Ready to Deploy","sowjanya.kari","madhuri.chintala","4368220","Feb_UAT | Regression | BPMS | Data Not Saved and Inconsistent Navigation/Field Behavior in Solution Simplification and Due Diligence Screens","Bug","TechWarriors"
"Ready to Deploy","sowjanya.kari","madhuri.chintala","4369427","Feb_UAT | BPMS | Regression | solution to contracting analysis tile showing enabled. when i selected to wrws tile","Bug","Forecasters"
"Active","sowjanya.kari","madhuri.chintala","4371162","Feb 21 | UAT 1 | Regression | PLD | Roles are not displaying under My role preferences","Bug","NGTransformers"
"Active","sowjanya.kari","madhuri.chintala","4362663","Feb 21 || UAT 1 || DFD ||The Request is not moving to Assigned Tab in PMO after doing Assignment from Self Assign","Bug","GoRetro"
"Active","sowjanya.kari","madhuri.chintala","4367335","Feb 21 | BPMS | UAT | Warning! popup is showing after selecting the check box ""Don't show me again"".","Bug","TechWarriors"
"Ready to Deploy","sowjanya.kari",,"4371668","Feb 21 | UAT 1 | PLD | The field enablement for WRWS is not as expected for BPMS PMO","Bug","Forecasters"
"Ready to Deploy","sowjanya.kari",,"4371672","Feb 21 | UAT 1 | PLD | Solution to Contracting Analysis tile is enabled for BPMS PMO which is not as expected","Bug","Forecasters"
"Ready to Deploy","sona.job","madhuri.chintala","4364184","Feb 21 || UAT 1 || PLD || Clicking on View DFD request from Assigned Tab, After editing in DFD it is navigating to the Unassigned tab for Cross Service","Bug","DevNinjas"
"Ready to Deploy","sona.job","madhuri.chintala","4356479","21 Feb |UAT_Myisp| PLD Cross Service |POP Up UI issues in Assigned & Unassigned Tabs","Bug","DynamicDev"
"Ready to Deploy","sona.job","madhuri.chintala","4362094","21st Feb | UAT | UAT 1| as Cross service lead delete some roles from Dashboard roles are not deleting and deleted roles not capturing in audit trail of DFD","Bug","Pacemakers"
"Ready to Deploy","sona.job",,"4371400","Feb 21 | UAT 1 | PLD | UI issues in SME dashboard which is not as expected","Bug","DevNinjas"
"Ready to Deploy","sona.job",,"4371434","Feb 21 | UAT 1 | PLD | The drawer menu is not proper when partial request cancellation done for Automation SME Lead","Bug","DynamicDev"
"Active","sona.job","madhuri.chintala","4369852","Feb21 | UAT1 | PLD | Regression | Deallocated Note font is not showing as expected in Song SA assignment email","Bug","DevNinjas"
"Re-open","shwetha.shriyan","krishnaveni.ayyappan","4370124","Feb 21st: UAT___ AI-Foundry___ Prompt Library| Staffing import status getting system error","Bug","agentcrafters"
"Blocked in UAT","shwetha.shriyan","krishnaveni.ayyappan","4370229","UAT__AI-Foundry___Prompt Library : Agent is updating Pricing input if user tries to configure pricing factors screen","Bug","agentcrafters"
"Active","shwetha.shriyan","krishnaveni.ayyappan","4369668","UAT__AI Foundry_TC_ Prompt Library_ Import Other cost from Excel _ Getting Import failed after maximum attempts error.","Bug","TechCoders"
