System.Id,System.AreaPath,Node Name,SM POC,AD POC,System.State,Microsoft.VSTS.Common.Severity,Custom.Application,System.Title
4036465,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,Re-open,3 - Medium,Global,[Tracking bug]: 12th July | BPMS OCP | Validation is missing during simulation
4120856,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Ready to Deploy,3 - Medium,Global,13th Sep | Stage | AMS | Query | If we change role ID form Super user (30) to Support SA (31) in the Url Ramp up planner is enabled.
4228560,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Global,8th Nov | UI_Revamp | UAT1_Myisp | AMS| Tax input | Sub-tabs |Super User| Experiencing performance issues in tax input sub-tabs.
4229482,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechPhantoms,TechPhantoms,sankaran.viswanathan,madhuri.chintala,Ready to Deploy,2 - High,Global,SA_Nov_PT| CDAT Mailer | Auto/Alert mail is not getting triggered for Operations RDE
4270853,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GENAI-CDAT,GENAI-CDAT,murugan.ssubramanian,srinivasan.ks,New,3 - Medium,Gen AI,CDAT GenAI | Prod - Chatbot is not giving output from the FAQ prompt library
4272876,AutomationProcess_29697\mySPIntegratedSolutionPlatform\QualityDataInsights\QualityDataInsights,QualityDataInsights,murugan.ssubramanian,srinivasan.ks,Active,4 - Low,Global,Dec 13 | UAT | alignment of icons
4278030,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,Active,4 - Low,Mycloud,Dec 13|| Prod Sanity || BPMS- Getting extra rows in MDA Staffing Data file compared to BDL file
4308812,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Active,3 - Medium,AO,UAT____AI Foundry_SC1 Productivity Assessment : Agent shows Assessment is completed but version is not eligible for it in Actual
4312257,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS\Rafiki,Rafiki,biju.balakrishnan,Rajsingh.rajput,Ready to Deploy,4 - Low,Mycloud,[External]Jan10th_UAT | Regression | BPMS | Estimators/Calculators | Reports data is mismatching
4331045,AutomationProcess_29697\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Active,3 - Medium,Global,"[Tracking bug]: 21st Feb | PROD AMS OCP | Simulation Failure with ""SolutionVersionInsertion Cannot insert the value NULL into column 'EconomicProfileCd'"" exception"
4335740,AutomationProcess_29697\mySPRapidSolutioning\TechTribe,TechTribe,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,CDAT|| JAN || UAT ||Getting SG as AMS while navigating from SI_Digital Solution Plan
4337155,AutomationProcess_29697\mySPVisionToValue\Spartans,Spartans,suresh.devarajan,srinivasan.sivakumar,Active,4 - Low,Global,Feb 21st | Stage | Value Shaping | Incorrect error message and single select dropdown fields issue in 360 diagnostics (Existing prod Issue)
4337753,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Active,4 - Low,AO,UAT__ AI Foundry__ Generate Pricing : Agent shows Pricing factor configured successfully but no changes are configured on UI
4340540,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,21st FEB | myISP | UAT1 | Sanity | OpportunityWorkflow | Quick Links | Deal Level Canvas Last Published Link | Showing Blank page
4340707,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,2 - High,AO,"UAT__AI Foundry___Pyramid Staffing : YOY custom guidance is not getting applied correctly for Onshore, Offshore & Nearshore configuration in each group."
4342363,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,"21st feb | DSP | UAT | Costing/Pricing | Price Assumptions >Pricing Type, CCI%, PMO and solution contingency values are not showing for SI"
4342788,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,"21st feb | DSP | UAT | Costing/Pricing | Price Assumptions > CCI%, PMO% of Total Cost, Work from home Offshore values are not showing for AMS"
4343411,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,Prod || DSP || Price Assumptions _ Incorrect Contract start and end date Duration
4343779,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Global,AI Foundry _SSA_ US-4279700_ UAT | Quick and detail version| Bill Code is not getting Applied form profile in Staffing.
4348536,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Global,Jan 31 || Prod Sanity || AMS || Import issue Productivity Assessment
4350427,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Re-open,3 - Medium,Global,AI Foundry _SSA_ US-4279700_ UAT_|Update group details|Group details are not getting updated in mentioned group
4352036,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_IMS,myISP_IMS,rajaraman.mahalingam,Rajsingh.rajput,New,2 - High,Global,Feb 21 || UAT1 || PLD ||For IMS SG Solution Components tile is not loading.
4353482,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GEN AI - Solution Super Agent,GEN AI - Solution Super Agent,murugan.ssubramanian,srinivasan.ks,Blocked in UAT,3 - Medium,AO,Regression : UAT___ AI-Foundry___ Prompt response is going out of the box after running it with 2000 characters for Reason for Service credits
